date,exchange_rate
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-26,
2014-04-27,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-03,
2014-05-04,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-10,
2014-05-11,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,3.0
2014-05-21,2.0
2014-05-22,2.0
2014-05-23,3.0
2014-05-24,4.0
2014-05-25,3.0
2014-05-26,3.0
2014-05-27,2.0
2014-05-28,2.0
2014-05-29,2.0
2014-05-30,2.0
2014-05-31,2.0
2014-06-01,2.0
2014-06-02,2.0
2014-06-03,2.0
2014-06-04,2.0
2014-06-05,2.0
2014-06-06,1.0
2014-06-07,1.0
2014-06-08,1.0
2014-06-09,1.0
2014-06-10,2.0
2014-06-11,2.0
2014-06-12,2.0
2014-06-13,2.0
2014-06-14,2.0
2014-06-15,3.0
2014-06-16,3.0
2014-06-17,3.0
2014-06-18,3.0
2014-06-19,3.0
2014-06-20,4.0
2014-06-21,5.0
2014-06-22,4.0
2014-06-23,4.0
2014-06-24,3.0
2014-06-25,3.0
2014-06-26,3.0
2014-06-27,2.0
2014-06-28,3.0
2014-06-29,3.0
2014-06-30,3.0
2014-07-01,2.0
2014-07-02,2.0
2014-07-03,3.0
2014-07-04,3.0
2014-07-05,2.0
2014-07-06,2.0
2014-07-07,2.0
2014-07-08,2.0
2014-07-09,2.0
2014-07-10,2.0
2014-07-11,2.0
2014-07-12,2.0
2014-07-13,2.0
2014-07-14,2.0
2014-07-15,2.0
2014-07-16,3.0
2014-07-17,3.0
2014-07-18,3.0
2014-07-19,3.0
2014-07-20,3.0
2014-07-21,3.0
2014-07-22,3.0
2014-07-23,3.0
2014-07-24,2.0
2014-07-25,3.0
2014-07-26,3.0
2014-07-27,3.0
2014-07-28,3.0
2014-07-29,3.0
2014-07-30,3.0
2014-07-31,3.0
2014-08-01,3.0
2014-08-02,3.0
2014-08-03,2.0
2014-08-04,2.0
2014-08-05,2.0
2014-08-06,2.0
2014-08-07,2.0
2014-08-08,2.0
2014-08-09,2.0
2014-08-10,2.0
2014-08-11,2.0
2014-08-12,2.0
2014-08-13,2.0
2014-08-14,2.0
2014-08-15,2.0
2014-08-16,2.0
2014-08-17,1.0
2014-08-18,1.0
2014-08-19,2.0
2014-08-20,2.0
2014-08-21,2.0
2014-08-22,2.0
2014-08-23,2.0
2014-08-24,2.0
2014-08-25,2.0
2014-08-26,2.0
2014-08-27,2.0
2014-08-28,2.0
2014-08-29,2.0
2014-08-30,2.0
2014-08-31,2.0
2014-09-01,2.0
2014-09-02,2.0
2014-09-03,2.0
2014-09-04,2.0
2014-09-05,2.0
2014-09-06,2.0
2014-09-07,2.0
2014-09-08,2.0
2014-09-09,2.0
2014-09-10,2.0
2014-09-11,2.0
2014-09-12,2.0
2014-09-13,2.0
2014-09-14,2.0
2014-09-15,2.0
2014-09-16,2.0
2014-09-17,2.0
2014-09-18,2.0
2014-09-19,1.0
2014-09-20,1.0
2014-09-21,1.0
2014-09-22,1.0
2014-09-23,1.0
2014-09-24,2.0
2014-09-25,1.0
2014-09-26,1.0
2014-09-27,1.0
2014-09-28,1.0
2014-09-29,1.0
2014-09-30,1.0
2014-10-01,1.0
2014-10-02,1.0
2014-10-03,1.0
2014-10-04,1.0
2014-10-05,1.0
2014-10-06,1.0
2014-10-07,1.0
2014-10-08,1.0
2014-10-09,1.0
2014-10-10,1.0
2014-10-11,1.0
2014-10-12,1.0
2014-10-13,1.0
2014-10-14,1.0
2014-10-15,1.0
2014-10-16,1.0
2014-10-17,1.0
2014-10-18,1.0
2014-10-19,1.0
2014-10-20,1.0
2014-10-21,1.0
2014-10-22,1.0
2014-10-23,1.0
2014-10-24,1.0
2014-10-25,1.0
2014-10-26,1.0
2014-10-27,1.0
2014-10-28,1.0
2014-10-29,1.0
2014-10-30,1.0
2014-10-31,1.0
2014-11-01,1.0
2014-11-02,1.0
2014-11-03,1.0
2014-11-04,1.0
2014-11-05,1.0
2014-11-06,1.0
2014-11-07,1.0
2014-11-08,1.0
2014-11-09,1.0
2014-11-10,1.0
2014-11-11,1.0
2014-11-12,1.0
2014-11-13,1.0
2014-11-14,1.0
2014-11-15,1.0
2014-11-16,1.0
2014-11-17,1.0
2014-11-18,1.0
2014-11-19,1.0
2014-11-20,1.0
2014-11-21,1.0
2014-11-22,1.0
2014-11-23,1.0
2014-11-24,1.0
2014-11-25,1.0
2014-11-26,1.0
2014-11-27,1.0
2014-11-28,1.0
2014-11-29,1.0
2014-11-30,1.0
2014-12-01,0.0
2014-12-02,1.0
2014-12-03,1.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,0.0
2014-12-09,0.0
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,0.0
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,1.0
2014-12-28,1.0
2014-12-29,0.0
2014-12-30,1.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,1.0
2015-03-10,1.0
2015-03-11,1.0
2015-03-12,1.0
2015-03-13,1.0
2015-03-14,1.0
2015-03-15,1.0
2015-03-16,1.0
2015-03-17,1.0
2015-03-18,1.0
2015-03-19,1.0
2015-03-20,1.0
2015-03-21,1.0
2015-03-22,1.0
2015-03-23,1.0
2015-03-24,1.0
2015-03-25,1.0
2015-03-26,1.0
2015-03-27,1.0
2015-03-28,1.0
2015-03-29,1.0
2015-03-30,1.0
2015-03-31,1.0
2015-04-01,1.0
2015-04-02,1.0
2015-04-03,1.0
2015-04-04,1.0
2015-04-05,1.0
2015-04-06,1.0
2015-04-07,1.0
2015-04-08,1.0
2015-04-09,1.0
2015-04-10,1.0
2015-04-11,1.0
2015-04-12,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-16,1.0
2015-04-17,1.0
2015-04-18,1.0
2015-04-19,1.0
2015-04-20,1.0
2015-04-21,1.0
2015-04-22,1.0
2015-04-23,1.0
